user_id,total_calls_duration,total_messages,mb_used,overage_cost,total_cost,total_calls_duration_prev_month,total_messages_prev_month,mb_used_prev_month,total_cost_prev_month,age,usd_monthly_pay,plan_ultimate,churn_status_Inactivo,age_group_Adulto,age_group_Senior,cost_group_Medio,cost_group_Alto,cost_group_Muy Alto
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1000,0.09486873792674945,0.041353383458646614,0.026807096809757125,0.0,70.0,0.0,0.0,0.0,0.18589139498566676,45,70,True,False,True,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.0,0.0,0.0,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.132157804732214,0.11278195488721804,0.09754680530917186,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.22840588500692083,0.16541353383458646,0.18771354201985324,0.0,20.0,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
1001,0.28366949609747705,0.19924812030075187,0.3148172767591986,0.1250729906903428,88.16119140625003,0.327505588236064,0.2,0.4308075485087162,0.1141598268073109,28,20,False,False,False,False,True,False,False
