user_id,month,total_calls_duration,total_messages,mb_used,total_cost
1000,2018-01,0.0,0.0,0.0,70.0
1000,2018-02,0.0,0.0,0.0,70.0
1000,2018-03,0.0,0.0,0.0,70.0
1000,2018-04,0.0,0.0,0.0,70.0
1000,2018-05,0.0,0.0,0.0,70.0
1000,2018-06,0.0,0.0,0.0,70.0
1000,2018-07,0.0,0.0,0.0,70.0
1000,2018-08,0.0,0.0,0.0,70.0
1000,2018-09,0.0,0.0,0.0,70.0
1000,2018-10,0.0,0.0,0.0,70.0
1000,2018-11,0.0,0.0,0.0,70.0
1000,2018-12,17.21029488499931,11.0,1901.47,70.0
1001,2018-01,0.0,0.0,0.0,20.0
1001,2018-02,0.0,0.0,0.0,20.0
1001,2018-03,0.0,0.0,0.0,20.0
1001,2018-04,0.0,0.0,0.0,20.0
1001,2018-05,0.0,0.0,0.0,20.0
1001,2018-06,0.0,0.0,0.0,20.0
1001,2018-07,0.0,0.0,0.0,20.0
1001,2018-08,23.97496625866089,30.0,6919.15,20.0
1001,2018-09,41.435489923704075,44.0,13314.82,20.0
1001,2018-10,51.46095314861555,53.0,22330.49,88.16119140625003
1001,2018-11,51.42466473730611,36.0,18504.3,50.70605468749999
1001,2018-12,49.71796399369138,44.0,19369.18,59.1521484375
1002,2018-01,0.0,0.0,0.0,20.0
1002,2018-02,0.0,0.0,0.0,20.0
1002,2018-03,0.0,0.0,0.0,20.0
1002,2018-04,0.0,0.0,0.0,20.0
1002,2018-05,0.0,0.0,0.0,20.0
1002,2018-06,0.0,0.0,0.0,20.0
1002,2018-07,0.0,0.0,0.0,20.0
1002,2018-08,0.0,0.0,0.0,20.0
1002,2018-09,0.0,0.0,0.0,20.0
1002,2018-10,7.809988604525106,15.0,6552.01,20.0
1002,2018-11,50.496458365784,32.0,19345.08,58.91679687500002
1002,2018-12,44.07539894624087,41.0,14396.24,20.0
1003,2018-01,0.0,0.0,0.0,20.0
1003,2018-02,0.0,0.0,0.0,20.0
1003,2018-03,0.0,0.0,0.0,20.0
1003,2018-04,0.0,0.0,0.0,20.0
1003,2018-05,0.0,0.0,0.0,20.0
1003,2018-06,0.0,0.0,0.0,20.0
1003,2018-07,0.0,0.0,0.0,20.0
1003,2018-08,0.0,0.0,0.0,20.0
1003,2018-09,0.0,0.0,0.0,20.0
1003,2018-10,0.0,0.0,0.0,20.0
1003,2018-11,0.0,0.0,0.0,20.0
1003,2018-12,130.7065544118188,50.0,27044.14,134.1029296875
1004,2018-01,0.0,0.0,0.0,20.0
1004,2018-02,0.0,0.0,0.0,20.0
1004,2018-03,0.0,0.0,0.0,20.0
1004,2018-04,0.0,0.0,0.0,20.0
1004,2018-05,21.85160567473423,7.0,6547.21,20.0
1004,2018-06,36.00224642496915,18.0,20672.82,71.8830078125
1004,2018-07,47.612217480924315,26.0,24516.62,109.42011718749998
1004,2018-08,45.7476939128393,25.0,27981.739999999998,143.25917968749997
1004,2018-09,35.207254624658596,21.0,18852.72,54.10859375000001
1004,2018-10,46.86165491298972,24.0,14541.63,20.0
1004,2018-11,51.4752060005081,25.0,21850.78,83.38652343749999
1004,2018-12,47.48289337373825,31.0,21389.29,78.87978515625001
1005,2018-01,0.0,0.0,0.0,20.0
1005,2018-02,0.0,0.0,0.0,20.0
1005,2018-03,0.0,0.0,0.0,20.0
1005,2018-04,0.0,0.0,0.0,20.0
1005,2018-05,0.0,0.0,0.0,20.0
1005,2018-06,0.0,0.0,0.0,20.0
1005,2018-07,0.0,0.0,0.0,20.0
1005,2018-08,0.0,0.0,0.0,20.0
1005,2018-09,0.0,0.0,0.0,20.0
1005,2018-10,0.0,0.0,0.0,20.0
1005,2018-11,0.0,0.0,0.0,20.0
1005,2018-12,56.248056066371014,11.0,17140.17,37.38447265624998
1006,2018-01,0.0,0.0,0.0,70.0
1006,2018-02,0.0,0.0,0.0,70.0
1006,2018-03,0.0,0.0,0.0,70.0
1006,2018-04,0.0,0.0,0.0,70.0
1006,2018-05,0.0,0.0,0.0,70.0
1006,2018-06,0.0,0.0,0.0,70.0
1006,2018-07,0.0,0.0,0.0,70.0
1006,2018-08,0.0,0.0,0.0,70.0
1006,2018-09,0.0,0.0,0.0,70.0
